,Average Cell Thickness,Average TBM Thickness,Contrast Eosinophilic,Contrast Luminal Space,Contrast Nuclei,Correlation Eosinophilic,Correlation Luminal Space,Correlation Nuclei,Energy Nuclei,Eosinophilic Area,Homogeneity Eosinophilic,Homogeneity Luminal Space,Homogeneity Nuclei,Luminal Fraction,Luminal Space Area,Major Axis Length,Max Distance Transform By Object Area Nuclei,Max Distance Transform Luminal Space,Max Distance Transform Nuclei,Mean Aspect Ratio Nuclei,Mean Blue Eosinophilic,Mean Blue Luminal Space,Mean Distance Transform By Eosinophilic Area,Mean Distance Transform By Luminal Space Area,Mean Distance Transform By Object Area Eosinophilic,Mean Distance Transform By Object Area Luminal Space,Mean Distance Transform By Object Area Nuclei,Mean Green Eosinophilic,Mean Green Luminal Space,Mean Nuclear Area,Mean Red Eosinophilic,Mean Red Luminal Space,Nuclei Area By Object Area,Nuclei Number,Radius (pixel),Standard Deviation Aspect Ratio Nuclei,Standard Deviation Blue Luminal Space,Standard Deviation Blue Nuclei,Standard Deviation Green Eosinophilic,Standard Deviation Green Luminal Space,Standard Deviation Green Nuclei,Standard Deviation Red Eosinophilic,Standard Deviation Red Luminal Space,Standard Deviation Red Nuclei,Sum Distance Transform By Luminal Space Area,Sum Distance Transform By Object Area Eosinophilic,Sum Distance Transform By Object Area Luminal Space,Sum Distance Transform By Object Area Nuclei,Sum Distance Transform Eosinophilic,Sum Distance Transform Luminal Space,Sum Distance Transform Nuclei,Total Object Area,Total Object Aspect Ratio
Mean Blue Eosinophilic,-0.1514,-0.3892,0.2174,0.536,0.4418,-0.6789,0.0142,-0.4264,-0.2269,-0.434,0.4677,-0.5297,-0.5384,0.1173,0.3788,0.0542,-0.2641,0.2083,-0.3202,0.1878,1.0,-0.0773,0.0435,-0.5465,-0.4623,0.0765,-0.2668,0.8715,-0.2209,-0.4012,0.6414,-0.1707,-0.3604,0.318,0.0465,0.1197,-0.0295,0.3351,-0.5363,0.0672,0.6962,-0.4566,0.0813,0.2324,0.0115,-0.5943,0.3069,-0.4401,-0.5371,0.2229,-0.1501,0.0491,-0.0064
Mean Blue Luminal Space,-0.4642,0.1468,0.0058,-0.1262,-0.05,0.1846,0.3532,0.0225,-0.0537,0.0524,-0.0629,0.2808,0.0087,0.6051,-0.0478,-0.0489,-0.0499,0.3034,-0.1685,0.3567,-0.0773,1.0,0.0109,-0.0045,-0.0111,0.3068,-0.0304,-0.1286,0.9273,0.1367,0.0381,0.8645,0.1018,-0.0861,-0.0269,0.2765,-0.6104,0.2335,0.2279,-0.4743,0.0006,0.1581,-0.5744,0.1281,0.4454,0.0446,0.2637,-0.0558,0.0269,0.1717,-0.0358,-0.0077,-0.0663
Mean Distance Transform By Eosinophilic Area,-0.5425,-0.6543,-0.8026,0.6145,0.8015,-0.4684,-0.0787,-0.5021,-0.2375,-0.6872,0.7864,-0.7486,-0.4821,0.4252,0.4655,-0.0262,-0.2041,0.2002,-0.3911,0.1342,0.0435,0.0109,1.0,-0.3983,-0.4996,0.0792,-0.1995,0.4298,0.1781,-0.4971,0.2391,0.0634,-0.6078,0.4105,-0.0384,0.0046,-0.1808,0.1399,-0.7482,-0.3653,0.4469,-0.7634,-0.2314,-0.2227,-0.0444,-0.6029,0.4432,-0.4892,-0.5436,0.2189,-0.2681,-0.0569,-0.0103
Mean Distance Transform By Luminal Space Area,0.4823,0.63,0.0791,-0.7212,-0.5823,0.7682,-0.2066,0.4602,0.3442,0.7121,-0.6921,0.7245,0.639,-0.4181,-0.4564,0.0729,0.3582,-0.3631,0.2284,-0.212,-0.5465,-0.0045,-0.3983,1.0,0.8519,-0.0822,0.4841,-0.724,-0.073,0.418,-0.4188,0.0376,0.485,-0.2738,-0.0509,-0.1711,-0.0897,-0.4166,0.6786,-0.0578,-0.6988,0.6014,-0.0994,-0.2147,-0.1217,0.813,-0.5164,0.3706,0.8041,-0.2752,0.2625,0.0844,0.2034
Mean Distance Transform By Object Area Eosinophilic,0.4192,0.542,0.3111,-0.6316,-0.6417,0.6848,-0.2559,0.4388,0.2591,0.6478,-0.7616,0.7268,0.5679,-0.4784,-0.6505,-0.1675,0.6236,-0.5563,0.1209,-0.2616,-0.4623,-0.0111,-0.4996,0.8519,1.0,0.1031,0.7339,-0.6763,-0.1029,0.3683,-0.3767,0.0422,0.4827,-0.4175,-0.3282,-0.2457,0.0385,-0.3374,0.7368,0.0943,-0.6683,0.6606,0.0077,-0.1887,-0.2818,0.7971,-0.6519,0.3529,0.7179,-0.4729,0.0397,-0.1585,0.1738
Mean Distance Transform By Object Area Luminal Space,-0.5662,-0.2077,-0.0045,-0.0403,-0.0825,-0.2661,0.4994,0.1532,-0.1501,-0.3713,0.2083,-0.0689,-0.1507,0.5594,-0.2384,-0.5547,0.6239,0.2173,-0.1953,0.2564,0.0765,0.3068,0.0792,-0.0822,0.1031,1.0,0.5671,0.0536,0.3607,0.2269,-0.1337,0.166,0.1621,-0.5515,-0.6391,0.0957,-0.1016,0.3745,-0.009,-0.0007,0.2229,0.0976,0.0346,0.3407,0.3881,-0.2962,0.3864,0.058,-0.3678,-0.0251,-0.4147,-0.5184,-0.0621
Mean Distance Transform By Object Area Nuclei,-0.068,0.079,0.1364,-0.3239,-0.4445,0.1765,0.0139,0.3986,0.2447,0.1588,-0.3007,0.301,0.3791,-0.1124,-0.5158,-0.3812,0.9402,-0.3943,0.074,-0.2709,-0.2668,-0.0304,-0.1995,0.4841,0.7339,0.5671,1.0,-0.3836,-0.0526,0.34,-0.4001,-0.0919,0.364,-0.5596,-0.644,-0.2686,0.1164,0.0233,0.4048,0.1811,-0.2655,0.4673,0.2209,0.1556,-0.1877,0.2841,-0.3089,0.369,0.2164,-0.3904,-0.173,-0.3941,0.2409
Mean Green Eosinophilic,-0.368,-0.5964,-0.0903,0.7952,0.7724,-0.7968,-0.0268,-0.6083,-0.3234,-0.67,0.7643,-0.8079,-0.7153,0.2955,0.5775,0.0741,-0.3861,0.3055,-0.4655,0.2524,0.8715,-0.1286,0.4298,-0.724,-0.6763,0.0536,-0.3836,1.0,-0.1245,-0.6034,0.7779,-0.0885,-0.5939,0.5149,0.0826,0.1644,-0.0313,0.4015,-0.8212,-0.0651,0.8413,-0.7915,-0.056,0.0209,0.0034,-0.8154,0.4829,-0.6302,-0.7216,0.3341,-0.2232,0.0683,-0.0292
Mean Green Luminal Space,-0.6124,0.0697,-0.1795,-0.0666,0.045,0.1313,0.4348,-0.0024,-0.0633,-0.0648,0.0809,0.1726,-0.0284,0.751,0.0306,-0.0586,-0.064,0.4039,-0.1836,0.3995,-0.2209,0.9273,0.1781,-0.073,-0.1029,0.3607,-0.0526,-0.1245,1.0,0.1107,0.0406,0.887,0.0373,-0.0578,-0.0282,0.3219,-0.5057,0.3021,0.138,-0.4523,0.0355,0.05,-0.5724,0.0405,0.5215,-0.0604,0.3993,-0.077,-0.0622,0.2473,-0.0612,-0.0181,-0.0751
Mean Nuclear Area,0.253,0.4926,0.1084,-0.8084,-0.7714,0.4419,0.5405,0.9385,0.4625,0.4348,-0.4376,0.5939,0.7144,0.0128,-0.2246,0.0588,0.3946,0.1952,0.7516,0.0053,-0.4012,0.1367,-0.4971,0.418,0.3683,0.2269,0.34,-0.6034,0.1107,1.0,-0.6083,-0.0411,0.8595,-0.6817,0.0204,0.1507,-0.1292,-0.0871,0.575,0.0208,-0.437,0.6602,0.1053,0.4097,0.4693,0.4278,0.0441,0.8827,0.4057,0.1275,0.4933,0.1087,0.0705
